ASIN,CommentsTitle,CommentsStars,CommentsAuthor,CommentsDate,CommentsContent,PurchasemModel_Size,PurchasemModel_Color,页面网址
,"







  
  
    Still pulls in outside air, contrary to the marketing
  
",2.0 颗星，最多 5 颗星,CM,评论于 2022年8月25日 在美国 🇺🇸 发布,"







  
  
    This unit does indeed pull in outdoor air. Even with the unit off, if you put your hand near the vents beneath where the hose connects to the unit, you'll feel a strong amount of airflow. Heck, you'll feel it strongly around all the drain ports - even all along the base of the unit! I was having quite a bit of trouble figuring out why this was having so much trouble with lowering the relative humidity below 60% - now I figured it out. I don't live in a particularly humid climate. If you're thinking of using this to keep your bedroom below 68 degrees while sleeping, then best of luck - it certainly will accomplish this, but it will absolutely struggle to reduce the RH below 60%. It regularly hovers at 65% throughout the night according to both of my sensors, even with my central AC kicking in every so often for ventilation. Tried running it on dry mode with the hose draining outside, and it still can't keep up. You do not want your indoor relative humidity level to reach above 60% as it introduces a whole host of issues, both to you health and your home. Was also wondering why my allergies were flaring up. I also live adjacent to a busy street, and I ultimately prefer to not have a continuous airflow of car exhaust into my home. Had I known this, I wouldn't have purchased this unit. I just do not understand why Midea makes such an outrageously incorrect claim. Now, I have to go through the hassle of returning this unit - already had to fabricate a custom mount to fit my sliding door that took a lot of time and effort to effectively weather seal before I figured this out, so yeah, I've wasted a monumental amount of time trying to find an adequate cooling solution. Unfortunately, this isn't it. Midea, please change your marketing and make it clear that this does, in fact, introduce outdoor air whilst the unit is running and while it is off/not runningOh, and I just remembered that I've been having a moth problem - I was thinking at first that it was the from the unit since I was finding them underneath and around it, but how could that be? The hose system is sealed after all... Hahaha, no it's not. So you are also taking a chance on allowing insects in. Great!I spent an unhealthy amount of time researching portable ACs before getting this. Thought it was going to be perfect, but alas, it has a glaring problem that's a result of lazy engineering. And this issue extends beyond merely introducing outdoor air - because the air appears to infiltrate throughout the internals, this is absolutely going to shorten the lifespan of it. There is no way you're going to be able to effectively clean it. And once you look in the hoses after running it for just a week, you'll find it's absolutely filthy. You can extrapolate that the inside must be in a similar condition since the airpath is not isolated in any sense; it is just marketing garbage.Wish I had spent all of this time just installing a mini split - lots of ones that are DIY and come pre-charged are around the price of this. I suppose that's really the only way to ensure that you're not circulating outdoor air.
  
","颜色: 黑色//白色尺寸: 14,000 BTU with Heat","颜色: 黑色//白色尺寸: 14,000 BTU with Heat",https://www.amazon.com/MAP08R1CWT-Portable-Conditioner-Dehumidifier-control/product-reviews/B087CQVC9G/ref=cm_cr_getr_d_paging_btm_next_13?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=13
,"







  
  
    Not for humid environments!
  
",2.0 颗星，最多 5 颗星,Sam,评论于 2022年8月25日 在美国 🇺🇸 发布,"







  
  
    If you live anywhere with high humidity this is not the AC for you. Because it pulls in air from outside the process of cooling it dehumidifies the air. Where I live this fills the half liter drain pan in about 30 minutes where I live. I also found out that the pump used in the dehumidify mode does not kick in in cool mode so you need to get the unit high enough off the ground to let gravity do the work. If you don't, once the drain pan is full the unit stops cooling to prevent the drain pan overflowing, however my unit leaked no matter how empty the pan was.I'm sure it's great for dry areas, just be aware in humid ones.
  
","颜色: 黑色//白色尺寸: 12,000 BTU","颜色: 黑色//白色尺寸: 12,000 BTU",https://www.amazon.com/MAP08R1CWT-Portable-Conditioner-Dehumidifier-control/product-reviews/B087CQVC9G/ref=cm_cr_getr_d_paging_btm_next_13?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=13
,"







  
  
    Good
  
",5.0 颗星，最多 5 颗星,GurnBlanston,评论于 2022年8月24日 在美国 🇺🇸 发布,"







  
  
    Great
  
","颜色: 白色尺寸: 8,000 BTU","颜色: 白色尺寸: 8,000 BTU",https://www.amazon.com/MAP08R1CWT-Portable-Conditioner-Dehumidifier-control/product-reviews/B087CQVC9G/ref=cm_cr_getr_d_paging_btm_next_13?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=13
,"







  
  
    too noisy
  
",3.0 颗星，最多 5 颗星,summer,评论于 2022年8月24日 在美国 🇺🇸 发布,"







  
  
    The air conditioner is good but too noisy. The sound always makes my baby wake up. That is the reason I decided to return it.
  
","颜色: 白色尺寸: 8,000 BTU","颜色: 白色尺寸: 8,000 BTU",https://www.amazon.com/MAP08R1CWT-Portable-Conditioner-Dehumidifier-control/product-reviews/B087CQVC9G/ref=cm_cr_getr_d_paging_btm_next_13?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=13
,"







  
  
    easy to use
  
",4.0 颗星，最多 5 颗星,xiaohua wang,评论于 2022年8月23日 在美国 🇺🇸 发布,"







  
  
    Inconvenient drainage
  
","颜色: 白色尺寸: 8,000 BTU","颜色: 白色尺寸: 8,000 BTU",https://www.amazon.com/MAP08R1CWT-Portable-Conditioner-Dehumidifier-control/product-reviews/B087CQVC9G/ref=cm_cr_getr_d_paging_btm_next_13?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=13
,"







  
  
    Great for BIGGER areas too
  
",5.0 颗星，最多 5 颗星,Mathew Braciszewski,评论于 2022年8月23日 在美国 🇺🇸 发布,"







  
  
    The product was supposed to be suitable for spaces of 150 sq.ft. however my apartment is 400 sq.ft. and it keeps everything cool/cold. I keep it at cool and 70 degrees and it's cost me about $5-$7 per month with it being on 90% of the time. I call that a WIN WIN!!!
  
","颜色: 白色尺寸: 8,000 BTU","颜色: 白色尺寸: 8,000 BTU",https://www.amazon.com/MAP08R1CWT-Portable-Conditioner-Dehumidifier-control/product-reviews/B087CQVC9G/ref=cm_cr_getr_d_paging_btm_next_13?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=13
,"







  
  
    Still Works after 8 months
  
",5.0 颗星，最多 5 颗星,Marcelo,评论于 2022年8月23日 在美国 🇺🇸 发布,"







  
  
    In Homestead Florida Used together with Central A/C. 1 Bed Apt. When in use the Central A/C stops.Makes about 7.5 gallons of water in 8 hours. Takes my small room down to 70 degrees after a few hours. At the outlet blows 52 degrees cold. I think Miami is a Hellish place because the 8 months humid summer season. I am trapped here because work and housing convenience. This is my little luxury and it works for me, It is quite noisy but the humming helps me sleep and cover neighbors/Landscapers. Took me about to 3 hours to set it up by myself. The electricity bill went up like $30 dollars which for me is well worth it.
  
","颜色: 白色尺寸: 8,000 BTU","颜色: 白色尺寸: 8,000 BTU",https://www.amazon.com/MAP08R1CWT-Portable-Conditioner-Dehumidifier-control/product-reviews/B087CQVC9G/ref=cm_cr_getr_d_paging_btm_next_14?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=14
,"







  
  
    Excellent.  Buy it.
  
",5.0 颗星，最多 5 颗星,Amazon Buyer,评论于 2022年8月20日 在美国 🇺🇸 发布,"







  
  
    Got this unit after reading a positive review on Wirecutter.  Overall, very impressed.PROS:Very quiet.  Sound level is comparable to the ""fan only"" setting on my other portable AC (Black+Decker 8K BTU) and no jarring compressor start/ stop.Good hose design.  Dual hose stays cooler than single.  In addition, the up-facing outlet is easier to route to window-level, allowing the unit to be closer to the wall (usually the hose comes straight out of the back, so the unit has to sit further into the room)Blows ice cold.  No issues with power or temp, cools well (note that my room is 300 sq feet)Nice mobile app.  You can turn the AC on remotely (say, 10 mins before you arrive) so you can come home to a cool living room.CONS:Some water leakage.  After running it for several super hot, humid days, there was a little puddle next to it (a teaspoon or so).  So you need to drain it after extreme humidity days, though I've had zero water drain out (or leak) since then, even after many days of use.Doesn't (completely) solve the negative pressure issue.  Portable ACs suck air from other parts of your house.  This unit draws less surrounding air than my B+D, but it's not 100%.  I keep a small window crack in my other room to bring in fresh air (but that of course reduces efficiency of the cooling).Black Darth Vader styling.  Like Darth, it dominates the room.  Doesn't look bad, but I would have preferred it in white (like my B+D).Takes up more window real estate.  As much as I love the dual hose, it's big.  It takes a full 10"" of window vs. 6"" for my 8K BTU Black+Decker.Despite the drawbacks, I'm VERY happy with this unit and I strongly recommend it.
  
","颜色: 黑色//白色尺寸: 12,000 BTU","颜色: 黑色//白色尺寸: 12,000 BTU",https://www.amazon.com/MAP08R1CWT-Portable-Conditioner-Dehumidifier-control/product-reviews/B087CQVC9G/ref=cm_cr_getr_d_paging_btm_next_14?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=14
,"







  
  
    Doesn’t cool very well or remove the humidity
  
",3.0 颗星，最多 5 颗星,Amazon Customer,评论于 2022年8月19日 在美国 🇺🇸 发布,"







  
  
    Doesn’t cool very well
  
","颜色: 黑色//白色尺寸: 14,000 BTU with Heat","颜色: 黑色//白色尺寸: 14,000 BTU with Heat",https://www.amazon.com/MAP08R1CWT-Portable-Conditioner-Dehumidifier-control/product-reviews/B087CQVC9G/ref=cm_cr_getr_d_paging_btm_next_14?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=14
,"







  
  
    Works great in a 10' x 13' room
  
",5.0 颗星，最多 5 颗星,Hitch,评论于 2022年8月19日 在美国 🇺🇸 发布,"







  
  
    Got this on Prime Day for $288 after tax. Works exactly like it says. It will cool a 10' x 13' room with no problem in the middle of summer in the Arizona desert. Will work on a standard 15A outlet with no problems, I believe the amp draw is around 8A.
  
","颜色: 白色尺寸: 8,000 BTU","颜色: 白色尺寸: 8,000 BTU",https://www.amazon.com/MAP08R1CWT-Portable-Conditioner-Dehumidifier-control/product-reviews/B087CQVC9G/ref=cm_cr_getr_d_paging_btm_next_14?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=14
,"







  
  
    VERY LOUD! Very difficult to set up.
  
",3.0 颗星，最多 5 颗星,Bruce P.,评论于 2022年8月18日 在美国 🇺🇸 发布,"







  
  
    Setting up this unwieldy monstrosity was energy sapping.  The overly tight accordion-style exhaust tube kept coming loose from its window attachment with the slightest tug.  I needed to point the unit 90 degrees, and the tube clearly isn't made to do this.  I'm two days over the return limit...if I had realized this design flaw sooner I'd return this noisy unruly beast immediately!
  
","颜色: 黑色//白色尺寸: 12,000 BTU","颜色: 黑色//白色尺寸: 12,000 BTU",https://www.amazon.com/MAP08R1CWT-Portable-Conditioner-Dehumidifier-control/product-reviews/B087CQVC9G/ref=cm_cr_getr_d_paging_btm_next_14?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=14
,"







  
  
    Noisier that expected based on other models
  
",3.0 颗星，最多 5 颗星,Amazon Customer,评论于 2022年8月18日 在美国 🇺🇸 发布,"







  
  
    Noisier that I expected
  
","颜色: 白色尺寸: 8,000 BTU","颜色: 白色尺寸: 8,000 BTU",https://www.amazon.com/MAP08R1CWT-Portable-Conditioner-Dehumidifier-control/product-reviews/B087CQVC9G/ref=cm_cr_getr_d_paging_btm_next_14?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=14
,"







  
  
    Doesn't really cool anymore than a regular fan.
  
",2.0 颗星，最多 5 颗星,Ashtyn C.,评论于 2022年8月17日 在美国 🇺🇸 发布,"







  
  
    I've owned this thing for almost 2 years. And no matter what I do, It doesn't blow cold air. I have these types of air conditioners at work and I know how they are supposed to operate. But this thing is just an overpriced and oversized fan. I regret buying it, but I'm stuck with the thing. Definitely should have just bought a window unit, way cheaper and I know they work well.If you're looking for something to cool down a room I suggest getting a window unit. I know they are ugly but they work well and I've never been let down by one yet. These portables tend to have issues with cooling the air and they are way more expensive. But then again that's just my opinion.
  
","颜色: 白色尺寸: 8,000 BTU","颜色: 白色尺寸: 8,000 BTU",https://www.amazon.com/MAP08R1CWT-Portable-Conditioner-Dehumidifier-control/product-reviews/B087CQVC9G/ref=cm_cr_getr_d_paging_btm_next_14?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=14
,"







  
  
    Did not perform well and they deducted $ 49.57 for the return shipping which was within 30 days.
  
",1.0 颗星，最多 5 颗星,May Day,评论于 2022年8月16日 在美国 🇺🇸 发布,"







  
  
    This did not perform well and they deducted $ 49.57 for the return shipping which was within 30 days. Geez!
  
","颜色: 白色尺寸: 8,000 BTU","颜色: 白色尺寸: 8,000 BTU",https://www.amazon.com/MAP08R1CWT-Portable-Conditioner-Dehumidifier-control/product-reviews/B087CQVC9G/ref=cm_cr_getr_d_paging_btm_next_14?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=14
,"







  
  
    Company support really lousy
  
",1.0 颗星，最多 5 颗星,Richard Startz,评论于 2022年8月16日 在美国 🇺🇸 发布,"







  
  
    Looks like a nice unit. Arrived with one plastic piece broken. Under warranty company insists we ship 77 pound unit back rather than send us 1 pound plastic panel.
  
","颜色: 黑色//白色尺寸: 14,000 BTU with Heat","颜色: 黑色//白色尺寸: 14,000 BTU with Heat",https://www.amazon.com/MAP08R1CWT-Portable-Conditioner-Dehumidifier-control/product-reviews/B087CQVC9G/ref=cm_cr_getr_d_paging_btm_next_14?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=14
